company_name,address,city
capgemini technology services india limited (dtp),"divyasree techpark sez (b4, b5, a5 & a6) it/ites, doddanakundi post kundalahalli, whitefield, bengaluru, karnatakaâ€“ 560037india",bengaluru
capgemini engineering (global edge office),"global village it sez, lane - pattanagere, mylasandra village, off mysore road, rvce post, bengaluru, 560059india",bengaluru
capgemini engineering (prestige),"vector block, prestige technology park iii, marathhalli, sarajapur outer ring road, bengaluru, 560103 - karnatakaindia",bengaluru
capgemini technology services india limited (5b),"rmz ecoworld, campus 5b, 6th floor, rmz ecoworld sez, sarjapur marathhalli outer ring road, varthur hobli, east taluk, bengaluru â€“ 560103karnatakaindia",bengaluru
capgemini technology services india limited (epip campus),"no. no. 155 - 156 (p), 158-162 (p) & 164-170 (p), epip phase ii, whitefield, bengaluru â€“ 560066karnatakaindia",bengaluru
capgemini technology services india limited,"6b building, pritech park, rmz eco space, marathalli outer ring road, bellandur,bangalore-560103karnatakaindia",bengaluru
capgemini technology services india limited (jss),"jss stp, tower â€“ii (ground, 1st, 2nd, 3rd floor), idco plot no#e-11/1, & e-11/2 infocity, chandrasekhrpur, bhubaneswar-751024, odishabhubaneswarindia",bhubaneswar
capgemini engineering (asv chandilya towers),"asv chandilya towers (2nd to 4th floor), no. 263/3b1a1, door no: 5/397, okkiam thoraipakkam village, rajiv gandhi road (omr) chennai (ex madras), 600096",chennai
capgemini technology services india limited (sipcot),"sipcot it park, plot no: h-6, old mahabalipuram road siruseri, chennai 603103tamil naduindia",chennai
capgemini technology services india limited (cpct),"chennai - pct prestige cyber tower, 117, rajiv gandhi salai, omr, karapakkam, chennai - 6000097tamil naduindia",chennai
capgemini technology services india limited (mipl),"chennai mipl, techno park, plot no.tp 4/1, 4th avenue, sez, mahindra world city, chengalpet, kanchipuram - 603002tamil naduindia",chennai
capgemini engineering (hanudev info park),"c block, sf no 558/2, udaiyampalayam road, hanudev infopark pvt ltd, nava india641028 - tamil naducoimbatoreindia",coimbatore
capgemini technology services india ltd.,"fintech one12th & 13th floorblock no. 53, road 5d and 52,zone â€“ 5,village ratanpur, palaj,gift city,gandhinagar â€“ 382355, gujarat, india",gandhinagar
capgemini engineering (candor techspace),"ground floor and 11th floor - building no.4 | ground floor to 13th floor - building no.5 | ground floor and 2nd floor - building no.6, it/ites special economic zone m/s candor gurugram one realty projects pvt. ltd., village tikri, sector-48, gurugram -122018 (haryana)india",gurugram
capgemini technology services india limited (gachibowli campus),"hyderabad gachibowli survey no: 115/32&35, nanakram guda gachibowli, hyderabad telengana-500032india",hyderabad
capgemini technology services india limited (gar office),"gar corporation pvt. ltd,tower 4, ground & 1st floor and 3rd floor to 5th floor,sy.no.107/p, kokapet village. rajenderanagar mandal, hyderabad, ranga reddy dist. hyderabad telangana â€“ 500075india",hyderabad
capgemini technology services india limited (candor tech space),"candor tech space it/ites sez, tower a3 -1st to 4th floor, tower a2 â€“ 1st floor to 2nd floor, tower a1 1st floor to 3rd floor, action area -1d, block no -dh, newtown, rajarhat, kolkata- 700156 west bengalkolkata (ex calcutta)india",kolkata
capgemini technology services india limited (airoli sez),"it3 & it4 (sez), airoli knowledge park, thane belapur road, airoli, navi mumbai -400708 maharashtra, india",mumbai
capgemini technology services india limited (vikhroli),"plant 5, godrej & boyce compound, gate no.2, l.b.s. marg, pirojshanagar, vikhroli (west), mumbai 400079, maharashtra, india",mumbai
capgemini technology services india limited (nsez),"plot no 134 & 135, 139, 140 and 142 e & f noida special economic zone phase ii noida, 201305. uttar pradeshindia",noida
capgemini technology services india limited (talwade),"a-1 technology park, midc, talwade, campus pune 411 062 maharashtra, india",pune
capgemini technology services india limited (hinjewadi),"rajiv gandhi infotech park, plot no.14, phase iii midc sez, village man taluka, mulshi, haveli hinjewadi, pune-411057 maharashtra, india",pune
capgemini technology services india limited (pt towers),"41/52, pt towers, suramangalam main road, 3 roads, salem-636009, tamil naduindia",salem
capgemini technology services india limited (muthiah towers),"muthiah towers, phase2, 26/2 williams road, cantonment, trichy 620001 tamil nadu, india",trichy
